time	x_sgp4	y_sgp4	z_sgp4	vx_sgp4	vy_sgp4	vz_sgp4	err_x	err_y	err_z	err_norm
06-Apr-2025 00:00:00	2322563.68880678	5716277.69367802	-10627749.1021664	4935.12729291603	1879.3367646655	2118.81211254644	-97.9598664618097	-91.9934598477557	-56.6780262589455	145.846942897635
06-Apr-2025 00:00:30	2470388.59448931	5772104.16855114	-10563159.8033482	4919.70285714088	1842.36496250551	2187.06839159668	-96.2535266894847	-91.408050336875	-60.9290103055537	146.056555359102
06-Apr-2025 00:01:00	2617736.45967351	5826816.01829039	-10496528.9123973	4903.32509987384	1805.02968082114	2254.9160814238	-95.1733384653926	-92.2547430312261	-62.5401933323592	146.561174082547
06-Apr-2025 00:01:30	2764578.72542204	5880402.44370598	-10427868.8854452	4885.99676876228	1767.33793697102	2322.3419734458	-94.3784596780315	-93.7483270997182	-62.9438361730427	147.166466959605
06-Apr-2025 00:02:00	2910886.91831252	5932852.85708859	-10357192.5738507	4867.72079453603	1729.2968219661	2389.33292754349	-93.6135631743819	-95.3150722170249	-63.1769723333418	147.782922000983
06-Apr-2025 00:02:30	3056632.65540347	5984156.88464332	-10284513.222106	4848.50029065089	1690.91349973429	2455.875874629	-92.7138027078472	-96.595162470825	-63.8835021201521	148.349507813306
06-Apr-2025 00:03:00	3201787.64995061	6034304.36854671	-10209844.465667	4828.33855313392	1652.1952057299	2521.95781921201	-91.610529219266	-97.4447533814237	-65.3163618016988	148.842857216633
06-Apr-2025 00:03:30	3346323.71683191	6083285.36909672	-10133200.3287068	4807.23906030717	1613.14924576395	2587.56584196451	-90.3367159175687	-97.9381219036877	-67.3397706151009	149.28912442401
06-Apr-2025 00:04:00	3490212.77801118	6131090.1668048	-10054595.2217922	4785.20547249198	1573.78299477678	2652.68710228272	-89.0324218277819	-98.3697584597394	-69.431554287672	149.74686055724
06-Apr-2025 00:04:30	3633426.86794311	6177709.26448	-9974043.9394826	4762.24163166675	1534.10389563075	2717.30884084623	-87.854363694787	-99.0683423485607	-71.0097419284284	150.250820712066
06-Apr-2025 00:05:00	3775938.13926719	6223133.38909815	-9891561.65785408	4738.3515611645	1494.11945765449	2781.41838217325	-86.6941102910787	-99.8342846846208	-72.4076312091202	150.750184792482
06-Apr-2025 00:05:30	3917718.86768802	6267353.49410984	-9807163.93194417	4713.53946513721	1453.83725578591	2845.00313717251	-85.4704623236321	-100.506362604909	-73.9037546310574	151.223324267298
06-Apr-2025 00:06:00	4058741.45810137	6310360.76095622	-9720866.69312351	4687.8097282935	1413.26492873323	2908.05060568965	-84.2314116526395	-101.151343793608	-75.4003115743399	151.696183359229
06-Apr-2025 00:06:30	4198978.44944213	6352146.60130912	-9632686.24638829	4661.1669152939	1372.41017808368	2970.54837904919	-83.0705141983926	-101.921934033744	-76.6543985120952	152.199499925641
06-Apr-2025 00:07:00	4338402.52033345	6392702.65877551	-9542639.26757816	4633.61577030659	1331.28076677384	3032.48414259051	-81.867113721557	-102.625603897497	-77.9663589578122	152.6859260494
06-Apr-2025 00:07:30	4476986.49440848	6432020.81075166	-9450742.80051787	4605.16121645274	1289.88451777892	3093.84567819749	-80.5570889301598	-103.159320672974	-79.4970739558339	153.137437572105
06-Apr-2025 00:08:00	4614703.34561968	6470093.17023958	-9357014.25408283	4575.80835521866	1248.22931277874	3154.62086682145	-79.2266378290951	-103.655657387339	-81.0423738770187	153.58783094284
06-Apr-2025 00:08:30	4751526.20384117	6506912.08739869	-9261471.39919023	4545.56246589162	1206.32309058687	3214.79769099635	-78.0093023078516	-104.322242705151	-82.2803755812347	154.073494720472
06-Apr-2025 00:09:00	4887428.35961308	6542470.15165922	-9164132.36571244	4514.42900479751	1164.17384615387	3274.36423734634	-76.7649792693555	-104.957569065504	-83.5075536202639	154.539525229004
06-Apr-2025 00:09:30	5022383.27018195	6576760.19284168	-9065015.63931892	4482.413604752	1121.78962862846	3333.30869908401	-75.4116942761466	-105.438417386264	-84.908913731575	154.963567091091
06-Apr-2025 00:10:00	5156364.56425433	6609775.28315122	-8964140.05824001	4449.52207423486	1079.17854028955	3391.61937849988	-74.0389328952879	-105.883953267708	-86.3169007338583	155.382696900813
06-Apr-2025 00:10:30	5289346.04725136	6641508.73876266	-8861524.80995774	4415.76039663186	1036.34873508748	3449.28468944158	-72.7918268991634	-106.494476984255	-87.4439639355987	155.840208291179
06-Apr-2025 00:11:00	5421301.70708251	6671954.12091898	-8757189.42782353	4381.13472951954	993.308416812946	3506.29315978236	-71.513722922653	-107.064017091878	-88.5737078897655	156.276095585503
06-Apr-2025 00:11:30	5552205.71860299	6701105.23800777	-8651153.78759913	4345.65140370595	950.065838111796	3562.63343387858	-70.1138449683785	-107.470911786892	-89.8765829615295	156.664444917781
06-Apr-2025 00:12:00	5682032.44933626	6728956.14657124	-8543438.10392706	4309.3169224392	906.629298621675	3618.29427501487	-68.6940852813423	-107.84165389277	-91.1841587610543	157.045377123714
06-Apr-2025 00:12:30	5810756.46463636	6755501.15267979	-8434062.92672667	4272.13796048684	863.007143455162	3673.26456783686	-67.418874759227	-108.384735640138	-92.2141591291875	157.467478348661
06-Apr-2025 00:13:00	5938352.53226982	6780734.81374512	-8323049.13751604	4234.12136310972	819.207762011192	3727.5333207706	-66.1138890841976	-108.88987559732	-93.2384334914386	157.865312267689
06-Apr-2025 00:13:30	6064795.62828369	6804651.93916203	-8210417.94566487	4195.27414516996	775.239585935362	3781.08966842764	-64.677792513743	-109.231246639974	-94.4224107563496	158.209588015438
06-Apr-2025 00:14:00	6190060.94147216	6827247.59207887	-8096190.88457214	4155.60349002153	731.111087933695	3833.92287399561	-63.2219964582473	-109.536775213666	-95.607490519993	158.543742241397
06-Apr-2025 00:14:30	6314123.8786912	6848517.09036384	-7980389.8077742	4115.11674847475	686.830780015305	3886.02233161324	-61.9273544782773	-110.018542980775	-96.525661110878	158.922246036176
06-Apr-2025 00:15:00	6436960.069753	6868456.00786187	-7863036.88498126	4073.8214376743	642.407211962075	3937.37756872907	-60.603197879158	-110.462349795736	-97.4356412943453	159.274550729287
06-Apr-2025 00:15:30	6558545.37267764	6887060.17524029	-7744154.5980442	4031.72523997646	597.848969549865	3987.97824844329	-59.138446261175	-110.74025328178	-98.4947352446616	159.568080749298
06-Apr-2025 00:16:00	6678855.8780172	6904325.68162651	-7623765.73684925	3988.83600170428	553.164673282351	4037.81417183196	-57.6545511893928	-110.982771150768	-99.5522117940709	159.849509346277
06-Apr-2025 00:16:30	6797867.91459505	6920248.87482222	-7501893.39514675	3945.16173199459	508.36297625681	4086.87528025254	-56.3494215151295	-111.405710154213	-100.353248801082	160.178850367289
06-Apr-2025 00:17:00	6915558.05353043	6934826.36307012	-7378560.96630705	3900.71060145987	463.452562995369	4135.15165763055	-55.0160058066249	-111.791777115315	-101.142496697605	160.480425484667
06-Apr-2025 00:17:30	7031903.11362124	6948055.01542831	-7253792.13901152	3855.49094092834	418.442147450887	4182.63353272596	-53.5331172505394	-112.011108998209	-102.069068007171	160.718318263418
06-Apr-2025 00:18:00	7146880.16607912	6959931.96267079	-7127610.89287426	3809.51124008942	373.340471356701	4229.31128137908	-52.0319827869534	-112.195558709092	-102.991142547689	160.942058114297
06-Apr-2025 00:18:30	7260466.53898939	6970454.59838617	-7000041.49399649	3762.78014609094	328.156302686779	4275.17542873482	-50.7262295139953	-112.5641890103	-103.668428051285	161.217213668012
06-Apr-2025 00:19:00	7372639.82223879	6979620.57951067	-6871108.49045549	3715.30646212838	282.89843381949	4320.21665144476	-49.3933918355033	-112.896991415881	-104.33071633894	161.463110955937
06-Apr-2025 00:19:30	7483377.87206217	6987427.82715213	-6740836.70772721	3667.0991459743	237.575679875585	4364.42577984613	-47.9028787920251	-113.062524323352	-105.118415575475	161.640655455334
06-Apr-2025 00:20:00	7592658.81594102	6993874.52694105	-6609251.24404479	3618.16730848348	192.196876834587	4407.79380011694	-46.395346027799	-113.193868813105	-105.899176779203	161.802397115835
06-Apr-2025 00:20:30	7700461.05654757	6998959.13030625	-6476377.46569058	3568.52021202847	146.770880113791	4450.31185640656	-45.0998825924471	-113.512630505487	-106.448148742318	162.019520628826
06-Apr-2025 00:21:00	7806763.27706222	7002680.35416643	-6342241.00222804	3518.16726894046	101.306562396513	4491.9712529408	-43.7790562901646	-113.796809800901	-106.979387284257	162.206377785322
06-Apr-2025 00:21:30	7911544.44502332	7005037.18210545	-6206867.74166756	3467.11803986864	55.8128121851428	4532.7634561009	-42.293035550043	-113.913798498921	-107.624048305675	162.320639840386
06-Apr-2025 00:22:00	8014783.81703434	7006028.86451006	-6070283.82557235	3415.38223212585	10.2985318749512	4572.68009647545	-40.7910539032891	-113.997791272588	-108.259734897874	162.417907552485
06-Apr-2025 00:22:30	8116460.94302648	7005654.91908676	-5932515.6441023	3362.96969798604	-35.2273639812974	4611.71297088463	-39.5172176221386	-114.271887781098	-108.677858179435	162.57475721686
06-Apr-2025 00:23:00	8216555.67092214	7003915.13080291	-5793589.83099864	3309.89043294194	-80.7559506367955	4649.85404437583	-38.219804151915	-114.512789449655	-109.075866824947	162.700574985356
06-Apr-2025 00:23:30	8315048.14999427	7000809.55323263	-5653533.2585062	3256.15457393312	-126.278294528494	4687.09545218984	-36.749986499548	-114.587389692664	-109.575110619888	162.749919359906
06-Apr-2025 00:24:00	8411918.8365624	6996338.50704907	-5512373.0322427	3201.77239751212	-171.785455794962	4723.42950169719	-35.265984268859	-114.629680939019	-110.063566468656	162.78096345222
06-Apr-2025 00:24:30	8507148.49644734	6990502.58221607	-5370136.4860029	3146.75431801348	-217.26848930752	4758.84867430318	-34.02586084418	-114.864025519229	-110.349695687182	162.87590031347
06-Apr-2025 00:25:00	8600718.21055399	6983302.63634645	-5226851.17651369	3091.11088563129	-262.718447190596	4793.34562732155	-32.7641338221729	-115.066751456819	-110.613673329353	162.939346025923
06-Apr-2025 00:25:30	8692609.37800976	6974739.79585497	-5082544.87812754	3034.85278450629	-308.126380248699	4826.91319581549	-31.3238858301193	-115.10406789463	-110.966710341163	162.922506343751
06-Apr-2025 00:26:00	8782803.72049446	6964815.45555692	-4937245.57746451	2977.9908307475	-353.483339974119	4859.5443944054	-29.8707518950105	-115.110584525391	-111.307750085369	162.886843291954
06-Apr-2025 00:26:30	8871283.28605646	6953531.27876154	-4790981.46799903	2920.53597042885	-398.780380356141	4891.23241904275	-28.6765495892614	-115.310501349159	-111.463150975294	162.919889034706
06-Apr-2025 00:27:00	8958030.45326364	6940889.19680819	-4643780.94459528	2862.4992775278	-444.008559864269	4921.970648749	-27.4628719072789	-115.480434046127	-111.594959431328	162.921376594225
06-Apr-2025 00:27:30	9043027.93438949	6926891.40970178	-4495672.59798852	2803.89195187967	-489.158943060524	4951.75264731901	-26.0648314505816	-115.486760202795	-111.80362025369	162.83923582023
