time	x_sgp4	y_sgp4	z_sgp4	vx_sgp4	vy_sgp4	vz_sgp4	err_x	err_y	err_z	err_norm
05-Jan-2025 00:00:00	-4835550.2787505	3998545.5859978	-10614891.4282384	5214.97778752035	596.341160493162	-2146.10096872736	-35.1984640229493	-44.9266939759254	-54.5271888319403	78.9338585341892
05-Jan-2025 00:00:30	-4678643.88342109	4016053.16067432	-10678257.3547237	5245.28387183016	570.811947642464	-2078.21542676043	-36.6954985475168	-44.2399477809668	-57.5655276682228	81.3481565189672
05-Jan-2025 00:01:00	-4520843.31489807	4032793.20701037	-10739580.7019884	5274.58793033171	545.173275930281	-2009.9313789356	-37.1634960984811	-44.5246633593924	-57.9885686524212	82.0136890030293
05-Jan-2025 00:01:30	-4362178.71768784	4048762.51324815	-10798849.7068437	5302.88442396812	519.429960117442	-1941.26165641145	-37.1699447538704	-45.2487659701146	-57.2181207165122	81.8716614779091
05-Jan-2025 00:02:00	-4202680.39964551	4063958.01247268	-10856052.9921062	5330.16799646137	493.586833953552	-1872.21916074811	-37.1189839057624	-46.0250236783177	-56.2899876572192	81.6375188331679
05-Jan-2025 00:02:30	-4042378.82660941	4078376.78302279	-10911179.5686776	5356.43347518508	467.64874953951	-1802.8168617448	-37.2567697153427	-46.6114583709277	-55.8518881052732	81.7320521338524
05-Jan-2025 00:03:00	-3881304.61687834	4092016.04903495	-10964218.8375601	5381.67587203161	441.620576517225	-1733.06779526872	-37.6769978734665	-46.9118895740248	-56.1614401824772	82.3066760082842
05-Jan-2025 00:03:30	-3719488.535496	4104873.18111329	-11015160.5918067	5405.89038427095	415.507201036726	-1662.98506107602	-38.3266191561706	-46.976604453288	-57.0842110663652	83.2726741192581
05-Jan-2025 00:04:00	-3556961.48904385	4116945.69647542	-11063995.0184052	5429.07239532747	389.313525423381	-1592.58182062421	-39.0110466121696	-47.0025036889128	-58.0918333213776	84.2956594934867
05-Jan-2025 00:04:30	-3393754.51957649	4128231.25984629	-11110712.7000978	5451.21747561932	363.044466745593	-1521.87129487698	-39.5141848945059	-47.2094375169836	-58.5948814786971	84.9909520716749
05-Jan-2025 00:05:00	-3229898.79936709	4138727.68356467	-11155304.6171329	5472.32138328643	336.704956478621	-1450.86676210079	-39.9455792075023	-47.4666390144266	-58.9452092573047	85.5760995368226
05-Jan-2025 00:05:30	-3065425.62509685	4148432.92814803	-11197762.1489522	5492.3800649478	310.299939463328	-1379.5815556539	-40.4043314987794	-47.6669622180052	-59.4301736224443	86.2356934670897
05-Jan-2025 00:06:00	-2900366.41222197	4157345.10265293	-11238077.0758106	5511.38965641334	283.834373126126	-1308.02906176761	-40.8707687291317	-47.8518002317287	-59.9363184031099	86.9055624551525
05-Jan-2025 00:06:30	-2734752.68932247	4165462.46501714	-11276241.580329	5529.34648337178	257.313226701106	-1236.22271732006	-41.2763623637147	-48.1189248370938	-60.1983905676752	87.4243401141635
05-Jan-2025 00:07:00	-2568616.09222319	4172783.422512	-11312248.2489815	5546.24706206613	230.741480174808	-1164.17600760252	-41.7024125223979	-48.3454311867245	-60.5495616253465	87.9921663549671
05-Jan-2025 00:07:30	-2401988.35864045	4179306.53181794	-11346090.0735137	5562.08809991067	204.124123953811	-1091.90246407833	-42.1925961589441	-48.4653209648095	-61.1683011390269	88.7167603730458
05-Jan-2025 00:08:00	-2234901.32192902	4185030.49963135	-11377760.4522952	5576.86649613444	177.466157359422	-1019.41566213471	-42.6949518080801	-48.5626118322834	-61.826454360038	89.4633815401653
05-Jan-2025 00:08:30	-2067386.90586003	4189954.18261162	-11407253.1916031	5590.57934234216	150.772588516365	-946.729218827341	-43.1253080407623	-48.769155128859	-62.1657333374023	90.0155602491612
05-Jan-2025 00:09:00	-1899477.11833086	4194076.58790424	-11434562.5068392	5603.22392310159	124.048432840719	-873.856790617964	-43.5481927881483	-48.9587710802443	-62.5298214945942	90.5725396405959
05-Jan-2025 00:09:30	-1731204.0459415	4197396.87315665	-11459683.0236778	5614.7977164656	97.2987127027452	-800.812071105025	-44.0076378090307	-49.0536525435746	-63.1299039945006	91.2596175301619
05-Jan-2025 00:10:00	-1562599.84801131	4199914.34679855	-11482609.7791458	5625.29839449212	70.5284563632094	-727.608788747547	-44.4749554740265	-49.1267746342346	-63.7658131532371	91.9648877424045
05-Jan-2025 00:10:30	-1393696.75081831	4201628.46817854	-11503338.2226348	5634.72382372961	43.7426972252086	-654.260704582181	-44.8946874828544	-49.3018266428262	-64.0991980656981	92.492757917407
05-Jan-2025 00:11:00	-1224527.04155228	4202538.84776945	-11521864.2168441	5643.07206568062	16.9464727199849	-580.781609933623	-45.3112156507559	-49.4528031097725	-64.4751246739179	93.0361634037028
05-Jan-2025 00:11:30	-1055123.06300497	4202645.2471156	-11538184.0386541	5650.34137723356	-9.85517580196455	-507.185324118616	-45.7535078283399	-49.5045653358102	-65.0986592341214	93.711903735682
05-Jan-2025 00:12:00	-885517.206881379	4201947.57916559	-11552294.3799331	5656.53021107766	-36.6572050144244	-433.485692143232	-46.2016186109977	-49.5333788879216	-65.7598799169064	94.4060749794018
05-Jan-2025 00:12:30	-715741.908602537	4200445.90813536	-11564192.348272	5661.63721608342	-63.4545695427279	-359.696582394081	-46.6170714248437	-49.6657161843032	-66.1111232452095	94.9237342769026
05-Jan-2025 00:13:00	-545829.641208695	4198140.44962082	-11573875.4676511	5665.66123766408	-90.2422230842489	-285.831884323082	-47.0245099383174	-49.7751875966787	-66.500259378925	95.45238777887
