train,val
2228.305663181921,2889.26218928123
1446.984701419758,1834.930521361682
802.6967487249211,956.8787205073298
425.7169550284273,566.7986566339221
225.38305587011806,387.48929103539916
156.57255093270965,360.7134007580426
141.17505056864513,333.3613193156768
135.1521743485474,332.82405105415654
130.91411948999485,337.5280367111673
127.41569603317164,326.984567408659
124.41857681412004,313.2722676238235
121.62991483325459,309.8650903409841
118.9267154758959,314.1624622539598
116.26139003591993,302.7370824643544
113.90935577585205,291.5837970728777
111.51010614778676,287.1815052178441
109.18603963482154,285.09294653668695
106.9636334005619,291.6548656492817
104.68359906443398,295.3473093023106
102.45638453326212,273.90310423228203
100.25606631114744,267.89068430297226
98.11450458454377,276.76929665584953
96.0196012646578,264.49794407766694
93.89094696526489,262.00968944296545
91.93231382963354,250.10244806931942
89.9664822364305,256.5564432484763
88.00701865427553,253.0757224170529
86.13909622653311,245.73273230085567
84.34557847486518,233.18918926375252
82.54888126589996,233.06918621063232
80.83954073610985,232.74810064812095
79.1800071305257,229.3719522685421
77.54220669284611,227.28140614957226
76.00191749421404,214.22883223514168
74.47759324908795,215.275783838058
72.94333330159579,214.15431665887638
71.55354549091501,202.03784492551063
70.11549079901899,208.09359085073277
68.76272415147373,205.6374457806957
67.43296683253847,200.11053926604134
66.07771807602658,194.9227973636316
64.72329938938427,191.8440413207424
63.48592557296546,190.85952348611792
62.18422204336677,186.14871626727435
60.968335310761404,185.2476750101362
59.677852809482914,186.51357577771557
58.55588411618397,174.24907203109896
57.271857650350945,172.58711412244912
56.062589461358414,167.5204185977274
54.90045469574718,161.80276902597777
53.62674727323788,157.42390811686613
52.44496870427867,156.12482275524917
51.31562735692567,154.3705425943647
50.12593812056766,155.14700938730823
49.07817961655832,150.38428045049005
47.9523508469192,144.32140785577346
46.823376108656284,144.85457489441853
45.774783749318104,140.5136584919326
44.800732602720544,142.05365782611224
43.73439693665913,135.8142420102139
42.7449074763237,130.47428217104502
41.785095372212915,127.8901626200092
40.87512407182465,123.43664096691171
39.889076356741626,125.1728079708255
38.98268048584838,121.8945149511707
38.11147713037737,119.11507662096803
37.233856868485915,115.39910505255874
36.45831958316703,112.07855225095943
35.63998105227141,110.8360269094
34.78460208180791,104.62872866221836
34.05920586874079,102.76913296081582
33.28862928677723,104.43906734549269
32.60429518194861,100.72208994262073
32.14978135954269,104.90790809234794
31.310252174157295,97.87017631044193
30.522788490660027,95.68733670456069
29.881514218178175,94.58218314817974
29.262294384033645,88.96357765550516
28.61353010138055,90.44530653102058
28.063991470956072,90.14355262262481
27.445229121862607,87.8830005660349
26.868656406110208,87.93471615229335
26.29381875544652,90.77939841820269
25.74868766201628,82.06118033066087
25.25283889753309,81.87391799809981
24.75977410057625,78.13949905609599
24.274560155687944,79.4259203672409
23.811407066014997,77.20045205160064
23.310444566986387,73.12765019341391
22.828844178787108,72.71243365139378
22.427781263700577,73.11153496467337
21.98238604040808,74.38189215197855
21.580974972710294,67.16593744499343
21.194235701083706,67.49897881308381
20.765102713682072,69.21946963302943
20.352073755857642,65.80472722771216
20.006633133152995,65.83782727134471
19.636116145213947,64.33993913871902
19.265821886879564,67.90717158633835
18.89574725526856,62.231342277964764
