time	x_sgp4	y_sgp4	z_sgp4	vx_sgp4	vy_sgp4	vz_sgp4	err_x	err_y	err_z	err_norm
18-May-2025 00:00:00	9225251.14576039	7726659.07410099	2118365.44982722	552.542814858182	-2125.56639662311	5286.55490206518	67.1317379511893	-153.030120655894	-43.7065796982497	172.728553450853
18-May-2025 00:00:30	9240919.55370342	7662133.80593814	2276748.520788	491.991086394765	-2176.0271657904	5272.13028777618	69.3305196557194	-151.272493637167	-42.299340964295	171.695435387644
18-May-2025 00:01:00	9254769.86232761	7596101.05767823	2434683.25626375	431.338703309908	-2226.06301052243	5256.66655421265	69.0420485120267	-151.493463558145	-41.5978081668727	171.602597905358
18-May-2025 00:01:30	9266799.23353702	7528573.7284397	2592138.52631374	370.597779916508	-2275.66387398011	5240.16666692849	67.599243145436	-152.609274241142	-41.2311323587783	171.928050456669
18-May-2025 00:02:00	9277005.19306152	7459565.01767362	2749083.29318974	309.780451359982	-2324.81978693202	5222.63380606737	65.9711963441223	-153.836502155289	-40.9206571229734	172.31473622945
18-May-2025 00:02:30	9285385.63091926	7389088.42265226	2905486.6177657	248.89887098474	-2373.52086997793	5204.07136573488	64.7627126537263	-154.68954497017	-40.4863481959328	172.517270624102
18-May-2025 00:03:00	9291938.80222211	7317157.73536332	3061317.66594662	187.965207561806	-2421.75733576677	5184.48295331696	64.213502863422	-154.977515788749	-39.8532023709267	172.422974366123
18-May-2025 00:03:30	9296663.32694119	7243787.04054489	3216545.71505835	126.991642821082	-2469.51949116233	5163.87238874352	64.1984185278416	-154.80227809865	-39.0576372826472	172.077544369132
18-May-2025 00:04:00	9299558.19108768	7168990.71176974	3371140.16021108	65.9903684937245	-2516.79773942969	5142.2437036997	64.2262711636722	-154.554530051537	-38.2538549341261	171.684227826443
18-May-2025 00:04:30	9300622.74632188	7092783.40934974	3525070.52064179	4.9735838396445	-2563.5825823577	5119.60114078249	63.7494550701231	-154.670047646388	-37.614426097367	171.469127574931
18-May-2025 00:05:00	9299856.71043248	7015180.07697183	3678306.44602832	-56.0465071408402	-2609.86462238099	5095.94915260486	63.0911639314145	-154.901336875744	-37.0193304177374	171.304845105709
18-May-2025 00:05:30	9297260.16743639	6936195.93864558	3830817.72277648	-117.057698400979	-2655.63456466723	5071.29240084695	62.5175951626152	-155.03956506867	-36.3795175054111	171.082394580873
18-May-2025 00:06:00	9292833.56731903	6855846.49596588	3982574.28027848	-178.047784432401	-2700.88321918647	5045.63575525433	61.9289776515216	-155.153484887443	-35.7489234041423	170.838484160437
18-May-2025 00:06:30	9286577.72653505	6774147.52418779	4133546.19713856	-239.004563171717	-2745.60150273844	5018.98429258497	61.0856320057064	-155.419028360397	-35.2321117334068	170.668774271164
18-May-2025 00:07:00	9278493.82725547	6691115.0698132	4283703.707369	-299.915838455304	-2789.78044097634	4991.34329550321	60.2884061634541	-155.617451242171	-34.6947165066376	170.455878168854
18-May-2025 00:07:30	9268583.41769663	6606765.4465462	4433017.20654928	-360.769422928286	-2833.41117037212	4962.71825142351	59.6986636389047	-155.630730659701	-34.065354517661	170.133192365151
18-May-2025 00:08:00	9256848.4111672	6521115.23283946	4581457.2579527	-421.55314045996	-2876.48494020149	4933.11485130184	59.1126756761223	-155.605592351407	-33.4403363848105	169.781226565695
18-May-2025 00:08:30	9243291.08644125	6434181.26742869	4728994.59863263	-482.254829146125	-2918.99311443134	4902.53898837815	58.2090149819851	-155.77370721288	-32.9684949945658	169.530702075535
18-May-2025 00:09:00	9227914.08675603	6345980.64661387	4875600.14547318	-542.862343759239	-2960.92717364447	4870.99675686717	57.2928588110954	-155.922958908603	-32.4934627329931	169.263894277375
18-May-2025 00:09:30	9210720.4192794	6256530.72073069	5021245.00119859	-603.363558416319	-3002.27871691422	4838.49445060021	56.5532207041979	-155.919928967021	-31.9234543340281	168.903516712103
18-May-2025 00:10:00	9191713.45489874	6165849.0899687	5165900.46034018	-663.746369438938	-3043.03946360456	4805.03856161831	55.8153947051615	-155.881052753888	-31.3584915930405	168.515921766295
18-May-2025 00:10:30	9170896.92730189	6073953.6010359	5309538.0151616	-723.998697921297	-3083.20125518758	4770.635778716	54.7819633390754	-156.008340287954	-30.960918745026	168.220819865503
18-May-2025 00:11:00	9148274.93170509	5980862.34421032	5452129.36154066	-784.108492130768	-3122.7560570801	4735.29298593656	53.7543366365135	-156.103596351109	-30.5550544513389	167.90316510866
18-May-2025 00:11:30	9123851.92488507	5886593.6482564	5593646.40480148	-844.063730599384	-3161.69596028286	4699.0172610215	52.9124530665576	-156.046168374829	-30.0392537694424	167.488779089858
18-May-2025 00:12:00	9097632.72373335	5791166.07737564	5734061.26550308	-903.852424513005	-3200.01318314309	4661.81587381134	52.0761363338679	-155.950840806589	-29.5271066650748	167.046217412296
18-May-2025 00:12:30	9069622.50405446	5694598.42765378	5873346.28517836	-963.462620228844	-3237.70007306571	4623.69628460028	50.9453331176192	-156.012289262377	-29.2019580351189	166.69737766515
18-May-2025 00:13:00	9039826.79989631	5596909.72250261	6011474.03201743	-1022.88240211881	-3274.74910809275	4584.66614244714	49.8178905975074	-156.044543075375	-28.8689342578873	166.328401099674
18-May-2025 00:13:30	9008251.50213028	5498119.20906983	6148417.30652502	-1082.0998950519	-3311.15289855334	4544.7332834334	48.87386848405	-155.933374386281	-28.4142573587596	165.865132831883
18-May-2025 00:14:00	8974902.85720875	5398246.35427286	6284149.14706575	-1141.10326696533	-3346.90418863177	4503.90572889383	47.9377454798669	-155.784325049259	-27.9620092874393	165.374294665575
18-May-2025 00:14:30	8939787.46604142	5297310.84036568	6418642.83543653	-1199.88073159481	-3381.99585787361	4462.19168358005	46.7147183734924	-155.777285763994	-27.7137853205204	164.975396861179
18-May-2025 00:15:00	8902912.28211646	5195332.56168596	6551871.90229804	-1258.42055071813	-3416.4209227845	4419.59953380568	45.4981071483344	-155.740279959515	-27.4563687285408	164.55687387559
18-May-2025 00:15:30	8864284.61060719	5092331.61946452	6683810.13264862	-1316.7110371106	-3450.1725381819	4376.13784551915	44.4647220745683	-155.567236493342	-27.0649615162984	164.045081368576
18-May-2025 00:16:00	8823912.10634935	4988328.3184924	6814431.57112999	-1374.7405567512	-3483.24399872368	4331.81536236853	43.4417109731585	-155.355644443072	-26.6744090421125	163.505604216931
18-May-2025 00:16:30	8781802.77241038	4883343.16252114	6943710.52735562	-1432.49753148827	-3515.62874026597	4286.64100369994	42.1390013191849	-155.272087386809	-26.5043525211513	163.057036819024
18-May-2025 00:17:00	8737964.95833571	4777396.85008014	7071621.58114542	-1489.97044150965	-3547.32034123462	4240.62386252586	40.8440879881382	-155.158462940715	-26.3239359380677	162.589476132312
18-May-2025 00:17:30	8692407.35831906	4670510.27025583	7198139.58770447	-1547.14782779278	-3578.31252396583	4193.773203452	39.7308288700879	-154.917359743267	-25.9975125631317	162.030237215155
18-May-2025 00:18:00	8645139.00953493	4562704.4979934	7323239.68273828	-1604.01829471712	-3608.59915593145	4146.09846056568	38.6301011200994	-154.637225211598	-25.6699360786006	161.443184284661
18-May-2025 00:18:30	8596169.28978329	4454000.79050284	7446897.28750573	-1660.57051218588	-3638.17425113324	4097.60923528487	37.258094009012	-154.470543693751	-25.577912225388	160.945779789459
18-May-2025 00:19:00	8545507.91604248	4344420.58179091	7569088.11380439	-1716.79321849081	-3667.03197112371	4048.31529417176	35.8955689240247	-154.273684766144	-25.4738802351058	160.429985519962
18-May-2025 00:19:30	8493164.94180102	4233985.47933305	7689788.16889237	-1772.67522224545	-3695.16662639804	3998.22656670746	34.7127146832645	-153.958258837461	-25.2120386008173	159.824168746012
18-May-2025 00:20:00	8439150.75544341	4122717.25854593	7808973.76034032	-1828.2054052145	-3722.57267732839	3947.35314303315	33.5448241271079	-153.603817535099	-24.9468983104452	159.190878263757
18-May-2025 00:20:30	8383476.07763553	4010637.85903429	7926621.50081714	-1883.37272434924	-3749.24473541978	3895.70527165421	32.1149759162217	-153.347856130917	-24.9314920660108	158.645882249384
18-May-2025 00:21:00	8326151.95920566	3897769.37969701	8042708.31280495	-1938.16621427674	-3775.1775643046	3843.2933571114	30.6963551584631	-153.062186381314	-24.9023595266044	158.083606455049
18-May-2025 00:21:30	8267189.77871393	3784134.07428235	8157211.43324437	-1992.57498955773	-3800.36608079886	3790.12795761802	29.4544822778553	-152.667224995326	-24.7039222689345	157.432944104783
18-May-2025 00:22:00	8206601.24020188	3669754.34637633	8270108.4181076	-2046.58824716703	-3824.80535579182	3736.21978266509	28.2293963143602	-152.233226447832	-24.4996334658936	156.754859863907
18-May-2025 00:22:30	8144398.37020439	3554652.74583257	8381377.14690083	-2100.19526826911	-3848.49061545864	3681.5796905931	26.7521749688312	-151.882816955913	-24.557825169526	156.163874596794
18-May-2025 00:23:00	8080593.51590168	3438851.96250483	8490995.82709052	-2153.38542120982	-3871.41724177298	3626.21868613569	25.2873786911368	-151.503039532341	-24.600169306621	155.556391185067
18-May-2025 00:23:30	8015199.34188084	3322374.82288676	8598942.99845852	-2206.1481631176	-3893.5807737109	3570.14791793007	23.9956930819899	-151.023681222927	-24.4619980715215	154.862309572925
18-May-2025 00:24:00	7948228.82762194	3205244.28498676	8705197.53738019	-2258.47304228518	-3914.97690798811	3513.37867599989	22.7229107245803	-150.506043836474	-24.3152371961623	154.141592904088
