train,val
976.3938648165401,587.3325711172454
174.4522122915421,290.11626500012926
95.87272754459364,195.1527683461199
73.96371673484231,168.55678319201178
61.33849061556611,148.90540615149908
53.204757589816616,135.31749534728576
47.002130634404175,114.43911996666266
42.18451936358907,125.5008069921513
38.179368701896976,97.1366401232627
34.35830091548675,92.73236214719256
31.55743120563686,85.80228114508245
28.80799707525802,79.29131234452433
26.52119099029665,73.45426049402782
24.76248318703998,65.23677145431236
23.217663312194798,59.382874407786495
21.793979367874464,57.41520433918554
20.687236982815108,57.87229768901455
19.601496294772335,55.68825579024091
18.672410178335,53.89139379074379
17.813391905415692,47.96925592392075
17.068098372226366,50.76340394102189
16.31030627969582,52.153954257922514
15.623337199604114,48.7436012838568
15.011417284648196,46.00539677149179
14.452912068775476,39.43253457074871
13.93691235721595,43.445519445197924
13.461701105262268,40.67517801769534
13.02518774261337,39.962459033849285
12.635402250977869,40.65971110974039
12.324374029075273,38.88332730942235
11.902955346326769,38.83795796471591
11.610074632763325,39.161806668554036
11.25928214700293,33.76337030225871
10.937756205916513,33.55855510170971
10.591251759189436,36.531654278082506
10.299475439826683,33.772605843537924
10.044660529754955,33.10528025532864
9.78990697000777,33.02605497228856
9.533684757080456,30.66166606408601
9.27041647485831,33.778169670199254
9.051142642796846,31.92874059902162
8.835953255619843,28.230467664648074
8.607632400862691,33.34390525489437
8.402968498905894,29.03770914035184
8.151362880083544,26.410973489436568
7.996880925378894,27.334440974632695
7.704075245625055,25.44541810681017
7.566411499508444,25.432447702072714
7.345430805513297,24.645275572124792
7.160828859124558,23.591803933208695
6.908580213650806,22.83581042411376
6.719937977541449,22.56681452934839
6.486934740657308,20.584639642007495
6.30425577603341,19.76953423456574
6.127614916607106,18.48257190171553
5.972617636831953,19.085182541411143
5.743973781656209,19.640584825557106
5.629263588068612,22.392316140614604
5.422570887882501,18.23548142163425
5.278426284291274,19.451105396130256
5.101698643404476,17.372352797233937
5.020752346655396,20.36335924199345
4.8719974627249725,16.480913301587712
4.706767940650232,16.705690156744453
4.5831075448566345,16.33274962715044
4.478966928635555,16.879806526689507
4.352991948964039,16.139310316999957
4.225960868559408,15.067895068425914
4.113294008994984,16.49125589916901
4.018616357400033,14.708201953228944
3.822209793130378,14.326935143875223
3.725489989205241,13.924138309396042
3.6154842749708296,13.117848756019862
3.4813019797219362,13.209088921375876
3.368765774345054,13.414268283477547
3.2911526770931414,12.683139625480589
3.1469451857645088,11.42131440634174
3.05869930259702,11.719682581608696
2.9314689119728543,10.831489283059325
2.8552765615949554,11.003824361809054
2.7407004360791474,10.64847974971469
2.6222484183268464,10.394462936348758
2.5026770515469843,8.931773945841254
2.407328100490398,8.298943178728223
2.249591808554501,12.523811931664847
2.1793447046047723,9.53599530621907
2.0498461485231534,7.9362003574413915
1.9482710406358872,8.527562574312395
1.874024687343293,6.359959458856254
1.7852883548807517,6.314541100087214
1.7136959168720718,6.539686118385622
1.6350708591900396,6.4829124848035224
1.569276064956801,7.0464388902812285
1.5160378856337533,6.202778462263546
1.479641757522541,6.287172935104796
1.4479822918598022,5.520703796648934
1.3719729171264698,5.494070240942647
1.3434617050307844,5.845182459506834
1.3112098192569368,4.985293557202177
1.242513980343602,5.289686148625095
